ID_numb,MenuCode,Menu_Nail,Cost,Choice,Order,Filter1,Not US,Repeated excluding other filters,Repeated and same demographics,Repetitions-2,IP,Completed,Date,Latitud ,Longitud,Duration,FirstClick,LastClick,PageSubmit,ClickCount,2Alt_Asked,3AltAsked,4Alt_Asked,5Alt_Asked,6Alt_Asked,Binary_Timing - First Click,Binary_high_Timing - Last Click,Binary_high_Timing - Page Submit,Binary_high_Timing - Click Count,Binary1_menu,Binary1_choice,Binary1_order,Binary2_menu,Binary2_choice,Binary2_order,Binary3_menu,Binary3_choice,Binary3_order,Binary4_menu,Binary4_choice,Binary4_order,Binary5_menu,Binary5_choice,Binary5_order,Binary6_menu,Binary6_choice,Binary6_order,Binary7_menu,Binary7_choice,Binary7_order,Binary8_menu,Binary8_choice,Binary8_order,Binary9_menu,Binary9_choice,Binary9_order,Binary10_menu,Binary10_choice,Binary10_order,Gender,Age,Education,Ethnicity,Marital_status,Income,Employment,Pairwise Comparisons -Order,,First_Question
2,1,32,3,2,13452,0,0,1,0,0,70.187.80.244,1,2018-08-25 16:23,29.6381073,-82.41410065,71,9.844,9.844,10.83,1,1,3,4,5,2,6.8,35.975,37.325,13,12,2,21,13,1,13,14,4,14,15,1,15,23,3,32,24,2,42,25,2,25,34,3,43,35,5,35,45,4,45,1,2,5,1,1,6,1,Q25|2-1|9|6|1-1|7|8|10|3-1|5|4,,1
3,1,32,3,0,24531,0,0,1,1,0,162.224.99.223,1,2018-08-25 16:35,29.84849548,-90.06330109,287,4.061,73.587,74.377,4,2,4,5,3,1,9.848,99.463,100.1,23,12,2,21,13,1,13,14,1,14,15,5,51,23,2,32,24,2,42,25,5,25,34,3,43,35,5,35,45,5,45,0,3,5,1,1,7,1,Q25|3-1|4|5|10|7|2-1|6|9|1-1|8,,1
4,1,32,3,4,53241,0,0,0,0,0,23.112.114.15,1,2018-08-26 11:14,28.53109741,-80.85230255,60,4.927,7.399,9.731,2,5,3,2,4,1,0.521,20.532,24.157,12,12,2,21,13,3,13,14,4,41,15,5,15,23,2,23,24,4,24,25,5,52,34,4,34,35,5,35,45,4,45,1,2,4,3,2,7,1,Q25|6|5|7|2-1|4|9|8|10|3-1|1-1,,1
5,1,32,3,1,34512,0,0,0,0,0,108.245.223.129,1,2018-08-26 11:15,39.72529602,-86.0042038,147,36.158,51.374,52.498,3,3,4,5,1,2,1.654,30.85,32.476,11,12,1,21,13,3,31,14,4,14,15,1,51,23,3,23,24,4,24,25,5,52,34,3,43,35,3,35,45,4,45,1,2,3,1,1,4,1,Q25|2-1|8|1-1|7|6|5|9|4|10|3-1,,1
6,1,32,3,0,42135,0,0,0,0,0,73.173.103.253,1,2018-08-26 11:16,39.24040222,-76.83940125,148,14.76,16.247,17.481,2,4,2,1,3,5,2.709,65.655,66.7,26,12,1,21,13,3,13,14,4,41,15,5,15,23,3,23,24,4,42,25,5,25,34,4,34,35,5,35,45,5,45,1,1,4,1,1,11,2,Q25|9|4|8|10|5|7|6|2-1|3-1|1-1,,1
7,1,32,3,2,41352,0,0,0,0,0,73.43.88.83,1,2018-08-26 11:23,33.72419739,-84.46829987,147,24.854,31.078,31.473,2,4,1,3,5,2,5.24,28.386,29.869,11,12,1,12,13,3,31,14,4,14,15,5,15,23,3,32,24,4,24,25,5,52,34,4,34,35,3,35,45,4,45,1,2,4,4,1,5,1,Q25|7|4|5|1-1|6|2-1|3-1|9|8|10,,1
8,1,32,3,2,21435,0,0,0,0,0,75.72.156.68,1,2018-08-26 11:25,44.7467041,-93.50039673,171,1.15,1.15,13.769,1,2,1,4,3,5,10.224,32.768,53.83,11,12,2,12,13,1,13,14,4,41,15,5,51,23,3,23,24,2,42,25,2,52,34,3,43,35,5,35,45,4,45,1,4,3,1,4,8,1,Q25|8|4|3-1|2-1|6|10|7|1-1|9|5,,1
9,1,32,3,0,42135,0,0,0,0,0,72.79.146.244,1,2018-08-26 11:25,41.33650208,-75.86009979,343,138.744,139.576,142.228,2,4,2,1,3,5,19.396,79.45,82.258,10,12,2,12,13,3,13,14,4,14,15,5,51,23,3,23,24,4,24,25,5,25,34,3,34,35,5,35,45,5,45,1,2,3,1,2,2,1,Q25|9|3-1|10|1-1|2-1|4|8|5|6|7,,1
10,1,32,3,3,13254,0,1,0,0,0,120.29.112.44,1,2018-08-26 11:29,14.64880371,121.0509033,54,16.76,16.76,18.368,1,1,3,2,5,4,0,0,9.518,0,12,1,21,13,1,13,14,1,41,15,5,51,23,2,32,24,4,42,25,5,52,34,3,43,35,3,53,45,5,45,1,2,5,6,1,6,1,Q25|5|7|9|10|4|1-1|6|2-1|8|3-1,,1
11,1,32,3,2,24153,0,0,0,0,0,173.28.95.97,1,2018-08-26 11:39,30.93009949,-84.64649963,406,34.204,34.204,184.157,1,2,4,1,5,3,11.951,94.296,98.286,15,12,2,21,13,3,31,14,4,41,15,5,51,23,2,23,24,2,24,25,2,25,34,3,34,35,5,53,45,5,45,0,3,4,1,2,4,1,Q25|2-1|6|7|1-1|8|10|4|5|9|3-1,,1
