choice,pagesubmit,clickcount,prob50,prob48,prob30,prob14,prob12,prob10,prob0,expect,complex,seenfirst,seensecond,alt1,alt2,alt3,alt4,alt5,gender1,age1,age2,age3,age4,education2,education3,education4,education5,ethnicity1,marital_status1,income2,income3,income4,income5,income6,income11,employment1,costop
2,10.83,1,0,0,.5,0,0,.5,0,20,1,0,0,1,5,2,3,4,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,5
0,74.376999,4,0,0,0,0,1,0,0,12,0,1,0,5,1,4,2,3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5
4,9.7309999,2,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,5,3,2,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
1,52.498001,3,.5,0,0,0,0,0,.5,25,1,0,0,4,5,1,2,3,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,5
0,17.481001,2,0,0,0,0,1,0,0,12,0,1,0,3,2,4,1,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,5
2,31.473,2,0,0,.5,0,0,.5,0,20,1,0,0,2,5,3,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5
2,13.769,1,0,0,.5,0,0,.5,0,20,1,0,1,2,1,4,3,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5
0,142.228,2,0,0,0,0,1,0,0,12,0,1,0,3,2,4,1,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,5
3,18.368,1,.25,0,.25,0,0,.25,.25,22.5,3,0,0,1,3,2,5,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,5
2,184.157,1,0,0,.5,0,0,.5,0,20,1,0,1,3,1,5,2,4,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,5
1,41.446999,1,.5,0,0,0,0,0,.5,25,1,0,0,4,2,5,1,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,5
0,5.263,1,0,0,0,0,1,0,0,12,0,1,0,3,2,5,1,4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,5
0,60.907001,1,0,0,0,0,1,0,0,12,0,1,0,5,4,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,5
2,162.679,2,0,0,.5,0,0,.5,0,20,1,0,0,3,2,4,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
2,394.815,1,0,0,.5,0,0,.5,0,20,1,0,0,1,4,3,2,5,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,5
2,94.533997,3,0,0,.5,0,0,.5,0,20,1,0,0,1,5,2,4,3,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,5
0,5.3210001,0,0,0,0,0,1,0,0,12,0,1,0,2,4,3,5,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,5
1,44.987999,2,.5,0,0,0,0,0,.5,25,1,0,0,3,4,5,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5
3,16.153999,1,.25,0,.25,0,0,.25,.25,22.5,3,0,1,5,2,1,3,4,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,5
5,58.337002,3,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,0,2,1,4,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5
2,67.151001,1,0,0,.5,0,0,.5,0,20,1,0,1,2,1,4,5,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
0,7.6430001,0,0,0,0,0,1,0,0,12,0,1,0,3,1,5,4,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
1,35.835999,5,.5,0,0,0,0,0,.5,25,1,0,0,3,5,2,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
1,139.799,1,.5,0,0,0,0,0,.5,25,1,0,0,2,5,3,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
2,214.7,1,0,0,.5,0,0,.5,0,20,1,0,1,2,1,3,4,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,5
2,63.625,1,0,0,.5,0,0,.5,0,20,1,0,0,2,5,4,3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5
4,102.3,19,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,1,5,4,2,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5
2,13.418,1,0,0,.5,0,0,.5,0,20,1,0,0,1,2,3,5,4,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,5
2,163.153,2,0,0,.5,0,0,.5,0,20,1,0,1,4,1,3,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5
0,23.364,0,0,0,0,0,1,0,0,12,0,1,0,4,3,1,2,5,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,5
1,177.98199,5,.5,0,0,0,0,0,.5,25,1,0,1,1,4,2,5,3,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,5
3,14.722,1,.25,0,.25,0,0,.25,.25,22.5,3,0,1,3,4,1,5,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,5
5,145.161,1,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,0,2,3,1,4,5,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,5
3,26.492001,3,.25,0,.25,0,0,.25,.25,22.5,3,0,0,4,2,3,5,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,5
1,22.052,1,.5,0,0,0,0,0,.5,25,1,0,0,5,2,4,3,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,5
4,218.897,9,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,1,3,2,4,1,5,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,5
3,57.466999,1,.25,0,.25,0,0,.25,.25,22.5,3,0,0,1,2,4,5,3,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,5
5,372.00201,5,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,1,4,3,5,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,5
1,57.974998,1,.5,0,0,0,0,0,.5,25,1,0,0,4,1,3,5,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
2,55.942001,1,0,0,.5,0,0,.5,0,20,1,0,1,4,1,5,2,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5
3,33.723,1,.25,0,.25,0,0,.25,.25,22.5,3,0,0,3,4,2,5,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,5
0,133.28999,10,0,0,0,0,1,0,0,12,0,1,0,1,3,5,4,2,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,5
1,24.82,1,.5,0,0,0,0,0,.5,25,1,0,1,1,2,3,5,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
3,103.274,2,.25,0,.25,0,0,.25,.25,22.5,3,0,0,4,1,3,2,5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,5
1,103.059,5,.5,0,0,0,0,0,.5,25,1,0,0,2,4,5,3,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
2,5.151,1,0,0,.5,0,0,.5,0,20,1,0,1,3,1,2,5,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,5
5,8.2849998,2,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,0,5,1,3,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
0,104.168,0,0,0,0,0,1,0,0,12,0,1,0,4,2,5,1,3,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,5
3,12.03,2,.25,0,.25,0,0,.25,.25,22.5,3,0,0,4,1,3,2,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5
3,6.6599998,2,.25,0,.25,0,0,.25,.25,22.5,3,0,0,2,3,4,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5
0,3.3210001,1,0,0,0,0,1,0,0,12,0,1,0,1,3,5,4,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
1,40.548,18,.5,0,0,0,0,0,.5,25,1,0,0,4,3,2,5,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,5
3,83.475998,1,.25,0,.25,0,0,.25,.25,22.5,3,0,0,5,4,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5
2,49.145,4,0,0,.5,0,0,.5,0,20,1,0,1,3,1,5,4,2,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,5
2,188.64301,1,0,0,.5,0,0,.5,0,20,1,0,0,2,5,1,4,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,5
0,2.5680001,1,0,0,0,0,1,0,0,12,0,1,0,4,3,2,5,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5
3,27.722,1,.25,0,.25,0,0,.25,.25,22.5,3,0,0,2,1,4,3,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5
2,92.975998,1,0,0,.5,0,0,.5,0,20,1,0,0,2,3,1,5,4,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5
0,16.403999,3,0,0,0,0,1,0,0,12,0,1,0,2,5,1,3,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,5
0,43.783001,0,0,0,0,0,1,0,0,12,0,1,0,1,4,2,3,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5
4,433.07501,3,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,3,2,1,4,5,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5
2,86.000999,14,0,0,.5,0,0,.5,0,20,1,0,0,5,2,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5
1,41.910999,1,.5,0,0,0,0,0,.5,25,1,0,1,1,5,2,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5
0,60.375,1,0,0,0,0,1,0,0,12,0,1,0,1,2,3,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
5,449.20499,3,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,1,3,4,5,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5
0,13.27,0,0,0,0,0,1,0,0,12,0,1,0,1,2,5,3,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,5
3,127.515,6,.25,0,.25,0,0,.25,.25,22.5,3,0,1,4,5,1,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,5
1,43.250999,1,.5,0,0,0,0,0,.5,25,1,0,0,3,1,5,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
3,10.268,1,.25,0,.25,0,0,.25,.25,22.5,3,0,1,2,5,1,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5
3,84.489998,23,.25,0,.25,0,0,.25,.25,22.5,3,0,0,3,1,2,5,4,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,5
4,116.95,5,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,5,1,2,4,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5
3,66.863998,13,.25,0,.25,0,0,.25,.25,22.5,3,0,1,5,4,1,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5
0,196.56799,16,0,0,0,0,1,0,0,12,0,1,0,5,4,2,3,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,5
2,35.397999,2,0,0,.5,0,0,.5,0,20,1,0,0,4,2,3,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
4,96.5,1,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,3,2,5,4,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,5
0,110.061,23,0,0,0,0,1,0,0,12,0,1,0,1,2,3,4,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,5
0,22.032,4,0,0,0,0,1,0,0,12,0,1,0,4,5,1,2,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5
5,24.150999,4,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,1,4,2,3,5,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
2,16.468,3,0,0,.5,0,0,.5,0,20,1,0,0,5,4,2,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
0,41.193001,2,0,0,0,0,1,0,0,12,0,1,0,1,4,2,3,5,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,5
2,31.355,3,0,0,.5,0,0,.5,0,20,1,0,1,2,1,4,5,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,5
3,97.170998,1,.25,0,.25,0,0,.25,.25,22.5,3,0,0,3,5,4,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
3,9.3999996,3,.25,0,.25,0,0,.25,.25,22.5,3,0,1,3,5,1,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,5
3,85.203003,18,.25,0,.25,0,0,.25,.25,22.5,3,0,0,1,5,2,4,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
5,10.632,7,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,0,3,1,2,5,4,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,5
1,9.5039997,1,.5,0,0,0,0,0,.5,25,1,0,0,5,1,2,4,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5
4,14.349,1,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,5,1,3,4,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
1,4.835,3,.5,0,0,0,0,0,.5,25,1,0,0,5,2,4,1,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,5
1,24.347,2,.5,0,0,0,0,0,.5,25,1,0,0,3,2,4,1,5,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,5
4,58.356998,34,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,2,4,3,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,5
3,15.6,1,.25,0,.25,0,0,.25,.25,22.5,3,0,1,2,4,1,3,5,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,5
5,64.344002,1,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,0,1,5,3,2,4,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5
1,25.725,4,.5,0,0,0,0,0,.5,25,1,0,0,5,3,4,1,2,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,5
2,25.011999,3,0,0,.5,0,0,.5,0,20,1,0,0,5,2,3,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,5
5,25.242001,1,0,.2,.25,.15000001,0,.25,.15000001,21.625,4,0,0,5,2,1,4,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5
2,53,1,0,0,.5,0,0,.5,0,20,1,0,1,3,1,5,4,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5
2,92.619003,1,0,0,.5,0,0,.5,0,20,1,0,0,5,3,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5
0,53.192001,1,0,0,0,0,1,0,0,12,0,1,0,5,1,4,2,3,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,5
1,68.766998,3,.5,0,0,0,0,0,.5,25,1,0,0,4,1,3,2,5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,5
3,340.978,5,.25,0,.25,0,0,.25,.25,22.5,3,0,0,2,4,3,1,5,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,5
4,6.7649999,1,.25,.2,0,.15000001,0,0,.40000001,24.125,3,0,0,5,3,1,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,5
